緯度情報,経度情報,愛工大からの距離,データ名
35.1878758050,137.1116759515,0.0046679315,あいち海上の森センター
35.1878758050,137.1116759515,0.0046679315,あいち海上（かいしょ）の森センター
35.1865401149,137.1083607726,0.0056299916,２００５年記念と長久手
35.1728640949,137.0902229892,0.0251389183,愛・地球博記念公園（モリコロパーク）
35.1751886215,137.0883324485,0.0260419707,愛地球博記念公園
35.2141380962,137.1001688702,0.0333135947,瀬戸市南公園・萩殿の森
35.2188885802,137.0999672704,0.0378089869,瀬戸市南公園
35.2246255809,137.1073448462,0.0416052784,瀬戸染付工芸館
35.2069210635,137.0775824468,0.0425445589,瀬戸グリーンセンター とれたて館
35.2246950851,137.1022365241,0.0426735604,新世紀工芸館
35.2255236589,137.1008406927,0.0438434080,瀬戸蔵
35.2301678233,137.1041438083,0.0475947933,ノベルティ・こども創造館
35.1491608263,137.1493694813,0.0499284464,うめこう桃梨苺園
35.1851565490,137.0617617708,0.0513097886,あぐりん村
35.1844792594,137.0603791471,0.0526735622,長久手温泉ござらっせ
35.2404677022,137.1157828208,0.0571213006,道の駅瀬戸しなの
35.1305210957,137.0873328259,0.0588083787,愛知牧場
35.2011664913,137.1709937178,0.0606104615,猿投山と菊石
35.2011664913,137.1709937178,0.0606104615,猿投山・菊石
35.2400888168,137.1448672531,0.0650007076,岩屋堂公園
35.1828812044,137.0479849254,0.0650591415,長久手グリーンセンター
35.2401699522,137.1449001942,0.0650875821,岩谷堂公園
35.1734347028,137.0486573724,0.0651530340,長久手市郷土資料室
35.1984573579,137.0383530320,0.0761891317,尾張旭産直センター
35.1163851766,137.0731391249,0.0780054698,愛知池
35.1606442656,137.1901462848,0.0803956777,愛知県緑化センター・昭和の森
35.2410276257,137.0515591874,0.0842594874,森林公園
35.2152114203,137.0348666361,0.0843952742,尾張旭グリーンセンター
35.2054088530,137.1958373399,0.0856675995,しだれ桜（金剛寺）
35.2054178170,137.1960460188,0.0858715956,金剛寺のしだれ桜
35.2253181742,137.0363553239,0.0873895968,維摩（いま）池
35.1314435252,137.0381948937,0.0911197976,農産振興クラブ及び日進野菜研究会
35.2202251293,137.0283115190,0.0923819746,城山公園
35.2511851460,137.0498195430,0.0926835402,東谷山フルーツパーク
35.2212605733,137.0272551961,0.0937649078,長池
35.0928135577,137.0879396895,0.0940118873,三好公園
35.2788646373,137.0906181891,0.0980509592,定光寺
35.1203857484,137.1882147134,0.0980983459,枝下（しだれ）用水
35.0973388935,137.0537358154,0.1045266749,東郷町文化産業まつり
35.0829792088,137.0758750272,0.1070895054,保田ケ池公園
35.2635716014,137.0415476971,0.1074101983,グリーンプラザ高蔵寺
35.0805407314,137.0820736144,0.1074317167,グリーンステーション三好
35.0844008724,137.1548774748,0.1074870146,ＪＡあいち豊田各産直店
35.0804070533,137.1517417289,0.1100351626,七州城址公園
35.0804070533,137.1517417289,0.1100351626,七州城址(しちしゅうじょうし)公園＆豊田市美術館
35.0752638403,137.0906430879,0.1104435353,さんさんの郷
35.0752638403,137.0906430879,0.1104435353,緑と花のセンター「さんさんの郷」
35.0875814185,137.0498449762,0.1147928128,東郷グリーンセンター
35.0992483331,137.0262676355,0.1208856049,涼松（すずみまつ）せせらぎの道
35.0989596129,137.0260487580,0.1212437472,涼松せせらぎの道
35.2686288613,137.0253714995,0.1222619257,不二緑化センター
35.1141216758,137.0109380587,0.1233951828,名古屋市農業センター delaふぁーむ
35.1141216758,137.0109380587,0.1233951828,名古屋市農業センター
35.0893373505,137.1981978000,0.1268920983,自然観察の森
35.1174713070,137.2242321295,0.1292728452,鷹見の里（たきみのさと）ビオトープ
35.3036911204,137.0568586408,0.1327538222,春日井市都市緑化植物園(グリーンピア春日井)
35.3036911204,137.0568586408,0.1327538222,都市緑化植物園
35.3043567281,137.0552742768,0.1340323735,少年自然の家
35.1951635844,137.2466453248,0.1341192385,ふじの回廊
35.0588587104,137.0572312909,0.1364858815,小堤西池のカキツバタ群落
35.0463768856,137.1178327148,0.1371190333,竹村駅近くのビオトープ　（豊田市竹町上沖）
35.1009010048,137.2273466144,0.1409739872,鞍ヶ池公園
35.0933892253,136.9982437783,0.1458860676,ＪＡみどり徳重支店朝市
35.2237794548,137.2537699628,0.1464032203,たまご村
35.2716776044,136.9922807147,0.1495795624,落合公園の桜
35.0487029038,137.1785164984,0.1497782278,水源公園
35.1225996517,136.9760864904,0.1498497590,ＪＡ天白グリーンセンター
35.0437403696,137.0563855174,0.1507254654,阿知和池
35.3181717233,137.0447659492,0.1510686419,あい農パーク春日井（春日井市ふれあい農業公園）
35.2984864164,137.0123999284,0.1528753797,くりの木ランチ
35.0420576673,137.0499975031,0.1547762899,刈谷ハイウェイオアシス
35.2631958376,136.9748786174,0.1595447319,三つ又ふれあい公園
