フィーチャID,形状(WKT),ルートID,名称,問い合わせ先,ホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
1,POINT(136.80260395236 35.3579631810924),rt010101,木曽川堤の桜,一宮市経済部経済振興課 0586-28-9131,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/02 13:36:39
2,POINT(136.755794670131 35.2710875937313),rt010101,萩原萬葉公園,樫の木文化資料館 0586-46-3215（一宮市博物館）,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/02 13:42:28
3,POINT(136.738918535619 35.2132384878151),rt010101,平和の桜並木,稲沢市市長公室平和支所 0567-46-1111,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/02 13:50:06
4,POINT(136.806183720711 35.2753587282852),rt010101,一宮地方総合卸売市場,0586-44-1119,http://ichinomiyaichiba.p-kit.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/12/07 13:29:32
5,POINT(136.787657429148 35.2479527824682),rt010102,稲沢公園,稲沢市都市整備課 0587-32-1372,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/08/25 11:17:59
6,POINT(136.79355076725 35.2400024469971),rt010102,あじさい寺（大塚性海寺歴史公園）,稲沢市商工観光課 0587-32-1332,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/08/25 11:19:02
7,POINT(136.770065023695 35.2298317366551),rt010102,植木センター（愛知県植木センター）,0587-36-1148,http://aichi-ueki.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/08/26 10:08:48
8,POINT(136.804066084076 35.2522848515822),rt010102,国府宮の農産物直売所,ＪＡ愛知西　産直広場国府宮店 0587-23-7951,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/10/12 15:11:26
9,POINT(136.738755705128 35.2568040299902),rt010103,ぎんなん・いちょう並木,稲沢市観光協会 0587-22-1414,http://www.inazawa-kankou.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/02 13:57:35
10,POINT(136.70563670715 35.2638396962124),rt010103,木曽三川公園ワイルドネイチャープラザ,0587-97-8722,http://www.kisosansenkoen.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/02 13:59:16
11,POINT(136.746225357056 35.2381184010304),rt010103,産直広場一色下方店 ,0587-36-6780,http://www.ja-aichinishi.or.jp/store/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/02 14:02:42
12,POINT(137.051559187448 35.2410276257278),rt010201,森林公園,0561-53-1551（代）,https://www.aichishinrin.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/02 14:04:17
13,POINT(137.087332825869 35.130521095742),rt010201/rt010202,愛知牧場,0561-72-1300,http://www.aiboku.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/08/26 13:41:30
