フィーチャID,形状(WKT),名称,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
1,POINT(137.358960925824 34.9224078308406),万足平の猪垣,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
5,POINT(137.217133364931 35.0098486808833),駒立ぶどう狩り園,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
6,POINT(137.187215752249 34.9868878792794),おかざき農遊館,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
7,POINT(137.129160719461 34.916045466497),ふれあいドーム岡崎,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
8,POINT(136.809592022577 35.3577676895924),138タワーパーク,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
9,POINT(136.753774306745 35.2316612572653),愛知県下水道科学館,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
10,POINT(136.800153485355 35.2841114822983),一宮市博物館,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
11,POINT(136.736541148008 35.3056803570265),尾西歴史民俗資料館,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
12,POINT(137.090618189077 35.278864637331),定光寺,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
13,POINT(137.144900194208 35.2401699521678),岩谷堂公園,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
14,POINT(137.073139124886 35.1163851766443),愛知池,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
15,POINT(137.099967270366 35.2188885801691),瀬戸市南公園,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
16,POINT(137.028311518963 35.2202251292729),城山公園,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
17,POINT(137.100840692675 35.2255236588815),瀬戸蔵,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
18,POINT(137.04865737242 35.1734347028281),長久手市郷土資料室,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
19,POINT(137.088332448495 35.1751886214629),愛地球博記念公園,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
20,POINT(136.680189102981 35.1319234896291),船頭平閘門,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
21,POINT(136.677330243803 35.1384113792401),加藤牧場,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
22,POINT(136.864063674729 34.992128697376),牟山神社,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
23,POINT(136.883248570154 34.9623903250425),水の生活館,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
24,POINT(136.833689233366 34.9619039745902),日長神社,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
25,POINT(137.445642288308 35.2306467498379),奧矢作湖,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
26,POINT(137.422188659557 35.2137965778365),黒谷渓谷,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
27,POINT(137.375295295517 35.1956322816489),押井磨崖物,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
28,POINT(137.246645324761 35.1951635843542),ふじの回廊,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
29,POINT(137.196046018847 35.2054178169797),金剛寺のしだれ桜,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
30,POINT(137.509820744327 35.2141838809855),瑞龍寺しだれ桜,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
31,POINT(137.511560671936 35.2100413435069),大井平公園,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
32,POINT(137.40318991243 35.0670881245197),保殿の七滝,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
33,POINT(137.357512318725 35.0293341208188),羽左の窪,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
34,POINT(137.570340663568 34.9689374041482),観来館,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
35,POINT(137.221897706055 34.6139432463893),太平洋ロングビーチ,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
36,POINT(137.109652142995 34.6228044668493),渥美郷土資料館,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
37,POINT(137.056338169723 34.5954064314889),伊良湖東大寺窯跡,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
38,POINT(137.028866656544 34.5878506992251),句碑,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
39,POINT(137.026048757954 35.0989596129162),涼松せせらぎの道,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
40,POINT(137.525445010509 35.2078195212248),オオキツネノカミソリ他,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
41,POINT(137.303084522393 35.1390070436304),香嵐渓グリーンファーム三ッ足栗,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
42,POINT(136.865663398835 34.8391241621647),潮干狩り（大谷）,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
