フィーチャID,形状(WKT),データID,データ名,特色、概要,問い合わせ先,問い合わせ電話番号,問い合わせホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
1,POINT(136.787657429148 35.2479527824682),da010102,稲沢公園,豊かな緑に包まれた公園。バラやさくら、広大な芝生広場や散歩道での憩いのひとときを。樹木の名に詳しくなれます。,稲沢市建設部都市整備課,0587-32-1372,http://www.city.inazawa.aichi.jp/shisetsuannai/koen_shizen/koen/1001718.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 10:01:00
2,POINT(136.79355076725 35.2400024469971),da010103,あじさい寺（大塚性海寺歴史公園）,約９０種１万本のあじさいが一斉に咲きほこる、歴史と自然が一体となった名所。,稲沢市役所商工観光課,0587-32-1332,http://www.city.inazawa.aichi.jp/shisetsuannai/koen_shizen/koen/1001719.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 10:02:29
3,POINT(136.738755705128 35.2568040299902),da010104,ぎんなん・いちょう並木,樹齢１００年を超えるいちょう大木群は、その昔、伊吹おろしを防ぐために植えられたのが始まりという。新緑の季節、青葉の季節、黄葉の季節、四季それぞれの美しさを見せてくれる。,稲沢市観光協会,0587-22-1414,http://www.inazawa-kankou.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/17 13:17:36
4,POINT(136.70563670715 35.2638396962124),da010105,木曽三川公園 ワイルドネイチャープラザ,清流と緑豊かなまち・稲沢市祖父江町の木曽川岸に沿って広大な砂丘があり、その周りには松林、湿地性草花、水鳥のさえずり、澄んだ空気が和ませてくれます。,サリオパーク祖父江 ワイルドネイチャープラザ ,0587-97-8722,https://www.kisosansenkoen.jp/~wildnature/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 10:05:19
5,POINT(136.755794670131 35.2710875937313),da010106,萩原・萬葉公園,萩の名所として万葉集に数多く歌われていると伝えられ、これにちなみ昭和３２年に歌碑を建立し萬葉公園と名付けられました。築込分園、高松分園、戸苅分園からなり、樫の木文化資料館も隣接しています。,樫の木文化資料館,0586-46-3215（一宮市博物館）,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 10:07:16
6,POINT(136.738918535619 35.2132384878151),da010107,平和の桜並木,平和支所～日光川～須ヶ谷川を桜でつなぎ「桜ネックレス」と呼ばれ、約２kmのシンボルロードとなっています。約60種の桜が次々と開花し3月上旬から5月上旬まで楽しむことができます。,稲沢市市長公室平和支所,0567-46-1111,http://www.city.inazawa.aichi.jp/miryoku/heiwa_sakura/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 10:09:32
7,POINT(137.100168870188 35.2141380961918),da010108,瀬戸市南公園・萩殿の森,森林治山事業とともに、当時の「萩御殿」を模した休憩施設を設置した。明治時代のはげ山復旧工事の見学茶屋であった「萩御殿」が名の由来。,瀬戸市役所,0561-82-7111,http://www.city.seto.aichi.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/17 13:23:46
8,POINT(137.036355323914 35.2253181742443),da010109,維摩（いま）池,維摩池周辺はウォーキングコースになっています。,尾張旭市都市整備課公園緑地係,0561-76-8161,http://www.city.owariasahi.lg.jp/kurasi/seikatu/park/imaike.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 10:57:01
9,POINT(137.028311518963 35.2202251292729),da010109,城山公園,公園では春には桜まつり、秋には市民祭や農業まつりが行われ、その周辺はウォーキングコースになっています。,尾張旭市都市整備課公園緑地係,0561-76-8161,http://www.city.owariasahi.lg.jp/kurasi/seikatu/park/shiroyama/001.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 10:51:52
10,POINT(137.026267635535 35.0992483331067),da010110,涼松（すずみまつ）せせらぎの道,愛知用水路に「ふた」をし、その上部を利用した水とふれあう公園。,東郷町役場都市計画課,0561-38-3111（東郷町役場都市計画課）,http://www.town.aichi-togo.lg.jp/tokei/koen/kyouiku/leisure/kouen/seseraginomichi.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/17 13:27:01
11,POINT(137.091287599185 35.2801090320234),da010111,定光寺,桜と紅葉の名所。尾張徳川家の藩祖義直を祀る源敬公廟のある臨済宗の古刹。,定光寺,0561-48-5319,http://www.aichi-now.jp/spots/detail/959/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/07 11:44:22
12,POINT(137.144867253063 35.2400888168362),da010112,岩屋堂公園,自然あふれる瀬戸の奥座敷。四季を通しての観光スポット,瀬戸市まるっとミュージアム観光協会,0561-85-2730,http://www.seto-marutto.info/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/07 11:46:54
13,POINT(137.072071732597 35.1096684984496),da010113,愛知池,知多半島の慢性的な水不足を解消するために整備された愛知用水の調整池として造られた。,（独）水資源機構 愛知用水総合管理所,0561-39-5460,http://www.water.go.jp/chubu/aityosui/b(jyouhou-main)/01(aitiyousui)/03(sisetu)/03(aitiike)/b-01-03-03.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
14,POINT(136.992280714693 35.271677604392),da010114,落合公園の桜,日本の都市公園百選に選ばれた落合公園に、ソメイヨシノほか千本余の桜が美しく咲き競います。,春日井市役所公園緑地課,0568-85-6281,https://www.city.kasugai.lg.jp/shisei/1009248/kanko/admin/1009354.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 11:08:28
15,POINT(136.961095043154 35.2549791788415),da010115,朝宮公園,桜並木が落合公園から続いており、のんびり散策が楽しめます。,春日井市文化スポーツ部朝宮公園管理事務所,0568-84-4991,https://www.city.kasugai.lg.jp/shimin/bunka/sports/asamiya/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 11:21:32
16,POINT(136.974878617435 35.2631958376208),da010115,三つ又ふれあい公園,桜並木が落合公園から続いており、のんびり散策が楽しめます。,春日井市建設部公園緑地課,0568-85-6281,https://city.kasugai.lg.jp/shisei/machi/park/1008523/1008545/1008551.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 09:09:49
17,POINT(136.995412346537 35.3191512882546),da010116,兒（ちご）の森,子どもたちの自然体験の場として小牧市東部のゆるやかな丘陵地帯に整備されました。呼称は、地元のお宮の名前に由来しています。,小牧市こども未来部こども政策課,0568-76-1179,http://www.city.komaki.aichi.jp/admin/life/kosodate/kosodateshisetsu/15564.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/07 11:48:57
18,POINT(136.913334551839 35.2937312289314),da010117,小牧山,春の桜、夏の青葉、秋の紅葉、そして雪の小牧山と四季折々の姿を見せ、憩いの場として親しまれている。,小牧山(小牧市歴史館）,0568-72-0712,http://www.city.komaki.aichi.jp/admin/event_1/events/bunkazai/1/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/07 13:09:53
19,POINT(136.877371317033 35.2780558700919),da010118,五条川の桜　と　尾北自然歩道,五条川は四季折々に美しい情景を見せ、尾北自然歩道はこの流れをたどることができます。,岩倉市商工農政課,0587-38-5812,https://www.city.iwakura.aichi.jp/category/3-11-0-0-0.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 11:29:34
20,POINT(136.858171637271 35.3492658816735),da010119,曼陀羅寺公園のフジ,フジの開花時期に合わせて曼陀羅寺公園内で藤祭りが開催されます。,江南市役所都市計画課,0587-54-1111,https://www.city.konan.lg.jp/shisetsu/kouen/1002997/1003002.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/07 11:57:42
21,POINT(136.900172547434 35.3745243117333),da010120,木曽川扶桑緑地公園,木曽川河川敷を舞台にした緑地公園。キャンプ場、散策の森などがあり、木曽川の美しい自然を眺めながらの散策に最高です。,木曽川扶桑緑地公園,キャンプ場予約等：0587-93-2441（総合体育館）,http://www.town.fuso.lg.jp/seisaku/shisetsu/011.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 11:33:07
22,POINT(136.971878602452 35.3776628920259),da010121,中島池,希少な動植物を保護・回復することを目的として整備され、自然観察することができます。,犬山市役所,0568-61-1800,https://www.city.inuyama.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 11:36:09
23,POINT(136.99383529852 35.3366727144682),da010122,入鹿池,江戸時代（1633年）に築造された我が国屈指の農業用ため池。水管理の合理化と用水の安定供給のため度重なる改修が行われ、現在の姿に至っている。,水土里ネット愛知,052-551-3611,http://www.aichi-doren.or.jp/map14.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 11:48:32
24,POINT(136.847742320525 35.0737956089592),da010123,藤前干潟,藤前干潟は貴重な自然を残しており、2002年11月、ラムサール条約登録地に指定されました。,稲永ビジターセンター,052-389-5821,http://chubu.env.go.jp/wildlife/fujimae/institution/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/07 11:59:05
25,POINT(136.84124275311 35.2164593836986),da010124,清須の自然と歴史,清洲公園や清洲城など、戦国時代の歴史を感じさせてくれます。,清洲城,052-409-7330,http://www.city.kiyosu.aichi.jp/shisetsu_annai/kanko_shisetsu_sonota/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 11:52:17
26,POINT(136.913232577665 35.2594135968261),da010126,神明公園,「緑」や「水」に親しむ空間、大空への憧れの空間として、子どもから大人まで楽しめる公園です。,神明公園（航空館boon),0568-29-0036,https://www.town.toyoyama.lg.jp/shisetsu/koen/1001011.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/07 11:56:04
