フィーチャID,形状(WKT),データID,データ名,特色、概要,問い合わせ先,問い合わせ先電話番号,問い合わせ先ホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
1,POINT(136.80953740291 35.3576773867654),da010501,１３８タワーパーク,園内には様々な花木が栽植され、四季折々の花にちなんだイベントが行われる。１３８メートルの展望塔から、広大な濃尾平野と雄大な木曽川の流れが一望できます。,１３８タワーパーク,0586-51-7105,http://www.kisosansenkoen.jp/~tower138/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 13:12:32
2,POINT(136.806183720711 35.2753587282852),da010503,一宮地方総合卸売市場　日曜新鮮市,昭和５６年に開設された食品等供給拠点。一般市民向けに日曜新鮮市を毎月第１日曜日に開催、野菜の即売などを行っています。,一宮地方総合卸売市場,0586-44-1119,http://ichinomiyaichiba.p-kit.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/07 13:20:22
3,POINT(136.770065023695 35.2298317366551),da010504,愛知県植木センター,緑化用樹木の生産振興に寄与する機関。緑化樹木等の研修、研究、情報収集提供などを行っています。,愛知県植木センター,0587-36-1148,http://aichi-ueki.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 13:17:01
4,POINT(136.775978583808 35.2200343617668),da010504,憩の農園　稲沢植木センター,稲沢の良質な植木・盆栽等を展示即売。また、造園・緑化の相談にも応じ、消費者から「緑のデパート」として好評です。,稲沢植木センター,0587-36-5070,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,""
5,POINT(136.754423722928 35.2314200842796),da010505,愛知県下水道科学館,下水道科学館にあるビオトープでは子どもが自然とふれあえる企画を行っている。,愛知県下水道科学館,0567-47-1551,https://www.pref.aichi.jp/soshiki/gesuido/20200228kagakukan.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/07 13:17:10
6,POINT(136.746311187744 35.2382761330275),da010506,産直広場一色下方店 ,ＪＡ愛知西の産直部会に入会している産直会員が、毎朝様々な商品をお届けします。随時、産直品を補充しており、いつでも豊富な品揃えを保っています。,ＪＡ愛知西　産直広場一色下方店 ,0587-36-6780,http://www.ja-aichinishi.or.jp/store/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/08/26 10:50:10
7,POINT(136.827619534777 35.2593302026439),da010507,産直広場下津店,笑顔で明るくいつも元気なお店です。毎朝、地元の生産者が新鮮野菜を産直コーナーに持ち込みます。特に土日は品揃え豊富です。,ＪＡ愛知西　産直広場下津店,0587-34-5721,http://www.ja-aichinishi.or.jp/store/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 13:40:42
8,POINT(136.804055054902 35.2522938328342),da010508,産直広場国府宮店,地元の生産者がつくった新鮮・安全・安価な商品を中心としたスーパーマーケットとして、お客さまに親しまれるお店づくりをしています。,ＪＡ愛知西　産直広場国府宮店,0587-23-7951,http://www.ja-aichinishi.or.jp/store/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/10/12 15:10:58
9,POINT(136.844415664673 35.2991990609779),da010509,産直広場南小淵店,ＪＡ愛知西本所南方の、国道沿いに位置する直売所です。ＪＡ愛知西の産直部会会員が、毎朝様々な商品をお届けします。,ＪＡ愛知西　産直広場南小淵店,0586-81-2022,http://www.ja-aichinishi.or.jp/store/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 14:28:24
10,POINT(136.752696614503 35.3074854920093),da010510,産直広場尾西店,ＪＡ愛知西の産直部会会員が、毎朝様々な商品をお届けします。生産者が随時、産直品を補充しますので、いつでも豊富な品揃えを保っています。,ＪＡ愛知西　産直広場尾西店,0586-62-5275,http://www.ja-aichinishi.or.jp/store/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 13:45:12
11,POINT(136.786571054376 35.2852864904187),da010511,愛知西のその他各直売所（お米屋さん大和店）,採れたての農産物を販売するＪＡ愛知西の産直コーナー。農産物には生産者の名前が表示されており、お値打ち価格にて販売しています。,直売所（お米屋さん大和店）,0586-45-7100,http://www.ja-aichinishi.or.jp/store/index2.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
12,POINT(136.81250418571 35.2854823818831),da010511,愛知西のその他各直売所（お米屋さん丹陽西店）,採れたての農産物を販売するＪＡ愛知西の産直コーナー。農産物には生産者の名前が表示されており、お値打ち価格にて販売しています。,直売所（お米屋さん丹陽西店）,0586-24-6100,http://www.ja-aichinishi.or.jp/store/index2.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
13,POINT(136.805960600788 35.3429827075536),da010511,愛知西のその他各直売所（お米屋さん葉栗店）,採れたての農産物を販売するＪＡ愛知西の産直コーナー。農産物には生産者の名前が表示されており、お値打ち価格にて販売しています。,直売所（お米屋さん葉栗店）,0586-51-9611,http://www.ja-aichinishi.or.jp/store/index2.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
14,POINT(136.808677911758 35.2256127827571),da010511,愛知西のその他各直売所（産直広場大里店）,採れたての農産物を販売するＪＡ愛知西の産直コーナー。農産物には生産者の名前が表示されており、お値打ち価格にて販売しています。,直売所（ＪＡ愛知西　産直広場大里店）,0587-24-9920,http://www.ja-aichinishi.or.jp/store/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/11/05 15:33:47
16,POINT(136.844696970059 35.3096313707865),da010512,うみたて卵直売店　うきうき村,色々な種類の新鮮鶏卵が用意されています。,うきうき村,0586-76-7335,http://www.ukinoyoukei.co.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 14:36:06
17,POINT(136.771879538746 35.3653033790322),da010513,天然鮎せり市,尾張地域唯一の天然鮎のセリ市を開催しています。,木曽川漁業協同組合,0586-87-3222,https://kisogawagyokyou19501027.on.omisenomikata.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 14:38:07
18,POINT(136.791447565583 35.2481538931997),da010514,荻須記念美術館,稲沢市出身でパリを中心に活躍した萩須高徳氏の業績を讃え、市民の美術文化振興に寄与している。,荻須記念美術館,0587-23-3300 ,http://www.city.inazawa.aichi.jp/museum/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 14:44:03
19,POINT(136.745820351584 35.3081378228876),da010514,一宮市三岸節子記念美術館,毛織物工場をモチーフとした建物、画伯が好んで描いたヴェネチアの運河などの作品や、愛用の品々を展示するなど、在りし日の画伯を偲ぶことができる。,一宮市三岸節子記念美術館,0586-63-2892,http://s-migishi.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/03/01 16:06:01
20,POINT(137.051559187448 35.2410276257278),da010515,森林公園,名古屋市守山区から尾張旭市に広がる広大な県立公園。緑の中でのんびりしたり、スポーツしたり様々な過ごし方ができます。,愛知県森林公園,0561-53-1551,http://www.aichishinrin.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 14:49:28
21,POINT(137.061761770772 35.1851565490319),da010516,あぐりん村,農産物直売所、農産物加工所、ふるさと薬膳レストランなどの都市農村交流施設。長久手温泉“ござらっせ”隣接地に平成１９年４月にオープンしました。,長久手温泉アグリ事業部,0561-64-2831,http://www.nagakuteonsen.jp/agrin/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
22,POINT(137.087332825869 35.130521095742),da010517,愛知牧場,乳しぼり、バター作り、アイスクリーム作り、手づくりウィンナー教室、引き馬・乗馬レッスン、パターゴルフなどなど、楽しみいろいろ！ゆったり牧場気分を楽しんでください。,愛知牧場/(有)愛知兄弟社,0561-72-1300,http://www.aiboku.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
23,POINT(137.111675951537 35.1878758049686),da010518,あいち海上（かいしょ）の森センター,「あいち海上（かいしょ）の森センター」（ムーアカデミー）は森林や里山に関する学習と交流の拠点として設立されました。,あいち海上の森センター（愛称：ムーアカデミー）,0561-86-0606,https://www.pref.aichi.jp/soshiki/kaisho/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/23 10:04:29
24,POINT(137.006297960377 35.0410161649192),da010519,愛知豊明花き地方卸売市場,鉢花・蘭鉢等観賞用植物の取扱量はアジア最大です。,愛知豊明花き地方卸売市場,0562-96-1199,http://www.toyoake.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
25,POINT(137.010938058726 35.1141216757931),da010520,名古屋市農業センター,一般市民の方を対象に、草花の展示や栽培教室、家畜の展示や農業の体験教室を行うなど農業公園として広く開放し、農業知識の学習、体験の場として利用されています。,名古屋市農業センター,052-801-5221,http://www.city.nagoya.jp/kurashi/category/19-8-4-2-2-0-0-0-0-0.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/23 10:09:11
26,POINT(137.100697872102 35.225532595535),da010521,瀬戸蔵,産業観光・市民交流の拠点施設。瀬戸市で推進している「せと・まるっとミュージアム」の拠点となっています。,瀬戸蔵,0561-97-1555,http://www.seto-marutto.info/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/07 13:15:56
27,POINT(137.077582446767 35.2069210635351),da010522,瀬戸グリーンセンター とれたて館,地元産のとれたての農産物をお値打ちに販売しています。,ＪＡあいち尾東瀬戸グリーンセンターとれたて館,0561-21-1181,http://www.jaab.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/03/01 16:16:21
28,POINT(137.034866636054 35.2152114202732),da010523,尾張旭グリーンセンター,季節の花苗、野菜苗がお値打ちです。,ＪＡあいち尾東尾張旭グリーンセンター,0561-53-2715,http://www.jaab.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/03/01 16:17:47
29,POINT(137.038353031985 35.1984573579264),da010523,尾張旭産直センター,地元の新鮮野菜を豊富に揃えた店舗は、いつも多くのお客様で賑わっています。,ＪＡあいち尾東尾張旭産直センター,0561-55-0556,http://www.jaab.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/03/01 16:18:28
30,POINT(137.047984925445 35.18288120438),da010524,長久手グリーンセンター,花苗、鉢花や園芸用品の他、地元の野菜や果実を販売しています。また、精米もできるコメ米コーナーでは地元産コシヒカリ、あさひの夢をはじめ銘柄米を販売しています。,ＪＡあいち尾東長久手グリーンセンター,0561-63-1210,http://www.jaab.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
31,POINT(137.038194893687 35.1314435252152),da010525,農産振興クラブ及び日進野菜研究会,ＪＡあいち尾東日進園芸センターを拠点にして、新鮮な野菜の産地直売を行っています。,ＪＡあいち尾東日進園芸センター,0561-72-0062　日進園芸センター内 ,https://www.jaab.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/09 15:27:05
32,POINT(137.049844976154 35.0875814184627),da010526,東郷グリーンセンター,地元産の新鮮な野菜、果物やお米を販売しています。地元のお米の“俵オーナー”も大人気です。,ＪＡあいち尾東東郷グリーンセンター,0561-39-0010,https://www.jaab.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/09 15:30:24
33,POINT(137.012235773928 35.0542483651725),da010527,豊明フレッシュセンター,市内農家の方が真心こめて育てた「安心・安全・安価」なとれたての野菜が毎日出荷されています。また、地元の生みたて“たまご”も大人気です。一度ご賞味ください。,ＪＡあいち尾東豊明フレッシュセンター,0562-92-0135,https://www.jaab.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/09 15:34:10
34,POINT(137.104143808277 35.2301678232792),da010528,ノベルティ・こども創造館,ノベルティは瀬戸では陶磁器製の置物や装飾品の総称です,ノベルティ・こども創造館,0561-88-2668,http://www.city.seto.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
35,POINT(137.107344846216 35.2246255809453),da010528,瀬戸染付工芸館,やきものの伝統技法である「瀬戸染付」をテーマにした施設,瀬戸染付工芸館,0561-89-6001,http://www.city.seto.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/11/17 09:25:25
36,POINT(137.102236524104 35.2246950851413),da010528,新世紀工芸館,陶芸・ガラス工芸の施設。陶芸体験あり,新世紀工芸館,0561-97-1001,http://www.city.seto.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
37,POINT(137.09022298919 35.1728640949448),da010529,愛・地球博記念公園（モリコロパーク）,愛・地球博の理念と成果を引き継ぐ公園。愛称「モリコロパーク」,愛・地球博記念公園（モリコロパーク）管理事務所,0561-64-1130,http://www.aichi-koen.com/moricoro/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/09 15:44:42
38,POINT(137.060379147089 35.1844792594146),da010529,長久手温泉ござらっせ,天然温泉を利用した温浴レジャー施設。,長久手温泉ござらっせ,0561-64-3511,http://www.nagakuteonsen.jp/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
39,POINT(137.049819542991 35.2511851459818),da010530,東谷山フルーツパーク,都市における自然とのふれあいの場として、植物観察や散策を楽しんでいただくとともに、果樹栽培技術の指導・研究を通じて都市農業の振興を図るなど、多目的な農業公園です。,東谷山フルーツパーク,052-736-3344,http://www.fruitpark.org/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
40,POINT(137.002958316207 35.313122190845),da010531,市民四季の森,ちびっこ動物村、芝生のくつろぎ広場や、仲間同士で楽しめるバーベキュー場などあり、子供から大人まで四季おりおりの自然が楽しめる公園です。,市民四季の森,0568-78-4554,http://www.city.komaki.aichi.jp/sumunarakomaki/kosodatekankyo/seicyowosasaemasu/10352.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/09 15:49:09
41,POINT(137.056858640841 35.3036911204408),da010532,都市緑化植物園,緑豊かな山々に囲まれ、緑と花の休憩所や各庭園など、四季折々の植物が見られます。自然のなかでゆったりと家族や友達同士で楽しむのに絶好の場所です。,春日井市都市緑化植物園(グリーンピア春日井),0568-92-8711,https://www.city.kasugai.lg.jp/shisetsu/sonota/syokubutsuen/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/09 15:51:47
42,POINT(137.055274276822 35.3043567280592),da010533,少年自然の家,築水の森や築水池に囲まれ、ハイキング、バードウォッチング、星の観察など、ゆたかな自然の中で1日中楽しめる施設です。,少年自然の家,0568-92-8211,https://www.city.kasugai.lg.jp/shisetsu/sonota/ie/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/09 15:54:58
43,POINT(136.968894222047 35.2970889887568),da010534,もも産地ＪＡ尾張中央・果実共同選果場,桃の産地に位置し、ＪＡ尾張中央の桃としてこの選果場を通じて各消費地へ届けられます。ももの直売も行っています。,ＪＡ尾張中央小牧東部営農センター,0568-79-8000,https://ja-owari-chuoh.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/09 15:57:20
44,POINT(136.978500060315 35.2940845307968),da010535,グリーンセンター桃花台店,ＪＡ尾張中央本所のとなりにあり、午前から多くの来客で賑わいます。,ＪＡ尾張中央グリーンセンター桃花台店,0568-79-6001,http://www.ja-owari-chuoh.or.jp/nougyo/shop01.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/09 16:07:31
45,POINT(136.973671169081 35.2718206222791),da010536,グリーンセンター春日井中央店,春日井から小牧へ抜ける幹線沿いの、のどかな田園地帯のなかにあります。園芸相談室も開いています。,ＪＡ尾張中央グリーンセンター春日井中央店,0568-87-2622,http://www.ja-owari-chuoh.or.jp/nougyo/shop02.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/09 16:10:37
46,POINT(136.94503498675 35.2323157970725),da010537,グリーンセンター味美店,名古屋に近く、意外にまち中にある直売所です。,ＪＡ尾張中央グリーンセンター味美店,0568-35-5222,http://www.ja-owari-chuoh.or.jp/nougyo/shop03.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/09 16:12:14
47,POINT(137.025371499545 35.2686288613205),da010538,不二緑化センター,春日井市でとれた新鮮野菜をはじめ、お米や花き類も豊富に販売しています。,ＪＡ尾張中央不二緑化センター,0568-51-2882,http://www.ja-owari-chuoh.or.jp/about/04_tenpo06.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
48,POINT(137.041547697065 35.2635716014413),da010539,グリーンプラザ高蔵寺,ＪＲ中央線高蔵寺駅下りてすぐ。交通の便利な所にある直売センターです。,ＪＡ尾張中央グリーンプラザ高蔵寺,0568-51-1214,http://www.ja-owari-chuoh.or.jp/about/04_tenpo05.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
49,POINT(136.932211626024 35.2406749918822),da010540,エアフロントオアシス（空港南側）,緑と水のうるおいを通じて空港に親しめるよう整備された緑地空間。県営名古屋空港から離発着する飛行機をすぐ真上に見ることが出来ます。,"","",http://parknagoya.web.fc2.com/airport/airoasis.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/22 15:36:39
50,POINT(136.913422450125 35.2725658728332),da010540,エアフロントオアシス（空港北側）,緑と水のうるおいを通じて空港に親しめるよう整備された緑地空間。県営名古屋空港から離発着する飛行機をすぐ真上に見ることが出来ます。,小牧市役所都市政策部みどり公園課,0568-76-1191,http://www.city.komaki.aichi.jp/admin/shimin/life/midori/1/01/10997.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/22 15:39:39
51,POINT(137.012399928432 35.2984864164494),da010540,くりの木ランチ,「安全・安心」「新鮮」と「おいしい」「楽しい」をテーマに交流できる場とした直売所。こだわりのたまごや豚肉、これらを使った自慢工房（ミート・菓子・惣菜）の商品と新鮮な野菜や果物があります。,新鮮体験農園くりの木ランチ,0568-79-1828,https://www.crestfarm.co.jp/company/access/kurinoki.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/03/02 11:10:48
52,POINT(136.984640768425 35.3701018799389),da010541,犬山里山学センター,日本の原風景である里山を保全し後世に伝え自然の大切さを発信する拠点としてオープンしました。,犬山里山学センター,0568-65-2121,https://www.city.inuyama.aichi.jp/kurashi/manabu/1000897/1001519/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/22 15:47:31
53,POINT(136.879638689624 35.3706011999154),da010542,すいとぴあ江南,水と緑のふるさとづくり事業の拠点。16種類500株の花菖蒲が展望タワーをバックに美しく咲き誇り、訪れた人の目を楽しませてくれます。,すいとぴあ江南,0587-53-5111,https://suitopia.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/22 15:52:33
54,POINT(136.878768036081 35.3709506804398),da010543,スイトピアYuYuクラブ朝市,新鮮な野菜等の即売を行っています。,すいとぴあ江南,0587-53-5111,https://suitopia.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/22 15:57:55
